Timestamp,Start,Start RPC server,Step,Subscribe,Measurement,Check subscriptions,Keep-alive,Stop
14:37:52 +404,1.0,,,,,,,
14:37:52 +405,,1.0,,,,,,
14:37:53 +406,,,1.0,,,,,
14:38:31 +134,,,,1.2,,,,
14:38:37 +141,,,2.0,,,,,
14:38:38 +142,,,,,2.2,,,
14:38:44 +146,,,3.0,,,,,
14:38:48 +154,,,,,,3.2,,
14:38:54 +161,,,0.0,,,,,
14:38:55 +162,,,,,,,0.2,
14:39:01 +169,,,,1.2,,,,
14:39:07 +176,,,2.0,,,,,
14:39:08 +177,,,,,2.2,,,
14:39:14 +184,,,3.0,,,,,
14:39:16 +188,,,,,,3.2,,
14:39:22 +194,,,0.0,,,,,
14:39:23 +195,,,,,,,0.2,
14:39:29 +202,,,1.0,,,,,
14:39:29 +203,,,,1.2,,,,
14:39:35 +210,,,2.0,,,,,
14:39:36 +211,,,,,2.2,,,
14:39:42 +218,,,3.0,,,,,
14:39:44 +222,,,,,,3.2,,
14:39:50 +229,,,0.0,,,,,
14:39:51 +231,,,,,,,0.2,
14:39:57 +238,,,,1.2,,,,
14:40:03 +242,,,2.0,,,,,
14:40:04 +244,,,,,2.2,,,
14:40:10 +250,,,3.0,,,,,
14:40:12 +254,,,,,,3.2,,
14:40:18 +261,,,0.0,,,,,
14:40:19 +263,,,,,,,0.2,
14:40:25 +269,,,,1.2,,,,
14:40:31 +276,,,2.0,,,,,
14:40:32 +277,,,,,2.2,,,
14:40:38 +284,,,3.0,,,,,
14:40:40 +288,,,,,,3.2,,
14:40:46 +293,,,0.0,,,,,
14:40:47 +295,,,,,,,0.2,
14:40:53 +302,,,,1.2,,,,
14:40:59 +309,,,2.0,,,,,
14:41:00 +310,,,,,2.2,,,
14:41:06 +317,,,3.0,,,,,
14:41:08 +322,,,,,,3.2,,
14:41:14 +329,,,0.0,,,,,
14:41:15 +330,,,,,,,0.2,
14:41:21 +337,,,,1.2,,,,
14:41:27 +344,,,2.0,,,,,
14:41:28 +345,,,,,2.2,,,
14:41:34 +352,,,3.0,,,,,
14:41:36 +357,,,,,,3.2,,
14:41:42 +363,,,0.0,,,,,
14:41:43 +365,,,,,,,0.2,
14:41:49 +372,,,,1.2,,,,
14:41:55 +377,,,2.0,,,,,
14:41:56 +379,,,,,2.2,,,
14:42:02 +386,,,3.0,,,,,
14:42:04 +389,,,,,,3.2,,
14:42:10 +396,,,0.0,,,,,
14:42:11 +398,,,,,,,0.2,
14:42:17 +402,,,,1.2,,,,
14:42:23 +408,,,2.0,,,,,
14:42:24 +410,,,,,2.2,,,
14:42:30 +417,,,3.0,,,,,
14:42:32 +421,,,,,,3.2,,
14:42:38 +428,,,0.0,,,,,
14:42:39 +429,,,,,,,0.2,
14:42:45 +434,,,1.0,,,,,
14:42:45 +435,,,,1.2,,,,
14:42:48 +353,,,,,,,,1.0
